Команда,Забитые,Незабитые
Кливленд Кавальерс,44.6,88.8
Бостон Селтикс,40.6,89.0
Оклахома-Сити Тандер,42.9,92.4
Мемфис Гриззлис,44.9,91.7
Хьюстон Рокетс,40.9,93.7
Даллас Маверикс,43.4,89.1
Орландо Мэджик,38.6,85.3
Нью-Йорк Никс,43.4,87.0
Голден Стэйт Уорриорз,41.3,91.4
Майами Хит,39.2,86.3
Денвер Наггетс,44.0,88.9
Милуоки Бакс,40.3,83.4
Миннесота Тимбервулвз,39.2,85.0
Финикс Санз,40.2,85.4
Лос-Анджелес Клипперс,39.7,86.0
Лос-Анджелес Лейкерс,39.4,83.4
Сан-Антонио Спёрс,39.6,86.9
Атланта Хокс,42.7,92.9
Сакраменто Кингз,42.9,89.0
Индиана Пэйсерс,42.6,87.4
Чикаго Буллз,43.2,91.0
Бруклин Нетс,38.9,84.2
Детройт Пистонс,40.2,86.4
Портленд Трэйл Блэйзерс,38.7,88.5
Филадельфия Сиксерс,37.8,86.0
Шарлотт Хорнетс,38.0,89.2
Торонто Рэпторс,40.8,88.5
Юта Джаз,39.0,85.1
Нью-Орлеан Пеликанс,39.0,88.8
Вашингтон Уизардс,39.9,90.3